"Ensembl_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Symbol"
"ENSG00000000003"	-0.181269450310069	7.63650442148587	-1.83851570378591	0.111865862056077	0.447591558464867	-5.19399545465322	"NO"	"NO"	"TSPAN6"
"ENSG00000000419"	-0.0502134994088168	5.72675233782381	-0.507978743510174	0.62825691843947	0.853541754121062	-6.57051213266991	"NO"	"NO"	"DPM1"
"ENSG00000000457"	-0.260590264124554	5.18570117272002	-1.62964387415476	0.15051910937918	0.498426193749304	-5.40416420424914	"NO"	"NO"	"SCYL3"
"ENSG00000000460"	0.0595318032177845	2.28706467173953	0.234460456645928	0.821845210581977	0.939045586715275	-5.97232707740578	"NO"	"NO"	"C1orf112"
"ENSG00000000971"	0.474512764602861	7.73911795617991	3.49401280451768	0.0113622849964632	0.206758079795017	-2.86958571752636	"NO"	"NO"	"CFH"
"ENSG00000001036"	0.0539952426913297	5.44421488034288	0.438736248218599	0.675073040568316	0.8752301429188	-6.58077489743067	"NO"	"NO"	"FUCA2"
"ENSG00000001084"	-0.315969396791485	7.95812972794543	-2.62046925096172	0.0367767638888198	0.307014676765478	-4.07860908883454	"NO"	"NO"	"GCLC"
"ENSG00000001167"	0.282417971781178	5.30472703533329	3.28553967035691	0.0148964784856645	0.224873544378826	-3.09421729605486	"NO"	"NO"	"NFYA"
"ENSG00000001460"	-0.41529486936	5.62756079293458	-3.90587720468753	0.006783129492595	0.179722348748711	-2.30684027350289	"NO"	"NO"	"STPG1"
"ENSG00000001461"	0.163752578157486	6.62238627166514	1.75513835703288	0.125984880909893	0.468261677577642	-5.31514711309177	"NO"	"NO"	"NIPAL3"
"ENSG00000001497"	-0.108303774202018	5.03337177861836	-1.19616063143265	0.27346632293948	0.621624358546491	-5.90741080120843	"NO"	"NO"	"LAS1L"
"ENSG00000001561"	-0.0854211730541943	6.25273678495952	-0.453169288687754	0.665174810262772	0.870418523540519	-6.62501225464771	"NO"	"NO"	"ENPP4"
"ENSG00000001617"	0.123299563926301	6.61541598475587	1.15714023994001	0.287991075823414	0.63473581927318	-6.05393971452746	"NO"	"NO"	"SEMA3F"
"ENSG00000001626"	-0.496243786713332	2.6359143083212	-1.13212087165868	0.297640638756068	0.641850776521579	-5.46763305355971	"NO"	"NO"	"CFTR"
"ENSG00000001629"	0.0175352071035855	6.05863617214516	0.164680855959465	0.874201905458741	0.958718882946748	-6.71703876954001	"NO"	"NO"	"ANKIB1"
